ETF,Norm_Return_CAGR,Norm_Return_Div,Norm_Div_Score,Norm_FinBERT,Norm_Liq_Volume,Norm_Liq_AUM,Norm_Risk_Vol,Norm_Risk_MaxDD,Norm_Cost_ExpRatio
VOO,0.788996816586401,0.21248246844319776,0.49132700319499256,0.45233124565066113,0.7141876788997642,1.0,0.48456862286649516,0.40198997748565624,1.0
VTV,0.50585666476206,0.5035063113604488,0.8872326795092036,0.8860224674420918,0.4176248664473271,0.5759955919187993,0.7663081599251813,0.6532791052364006,1.0
IJH,0.4966737409191085,0.2580645161290323,0.6576461515234362,0.46624913013221997,0.8406268971042584,0.4589186567556266,0.09995323825111024,0.0,0.9047619047619047
VIG,0.4915721165619132,0.3597475455820478,0.5857894242892877,0.786609006859529,0.17502499483544529,0.4346205090187588,0.7698152910918868,0.6641731425666353,0.9523809523809523
VO,0.48749081707615693,0.32468443197755964,1.0,0.38448155880306195,0.07641929653376718,0.4139503955308061,0.47755436053308375,0.34824605998983216,1.0
SCHD,0.23955187331646388,1.0,0.7341953964361351,0.7873546078138981,1.0,0.3840581409292896,0.655249006312836,0.4985837751470694,0.857142857142857
VYM,0.48953146681903503,0.6262272089761571,0.9410742193078742,0.786111939556616,0.2085267546681866,0.34489770514474677,0.7207154547580079,0.6888662938485003,0.9523809523809523
VB,0.542078197698147,0.26507713884992995,0.748150535967128,1.0,0.09655765313083038,0.3384539373026439,0.0,0.0,1.0
SCHF,0.5482001469267813,0.9873772791023843,0.7014293816893881,0.4222586738244359,0.8241659579908552,0.29079878535087034,0.45534252981061485,0.725906020771298,1.0
SCHG,1.0,0.0,0.0,0.9633164330450343,0.8108090950892668,0.2354406849475388,0.0,0.07516885757861869,0.9523809523809523
XLF,0.673189943678067,0.3562412342215989,0.0,0.0,1.0,0.23151377943485899,0.3209025017535654,0.6285859539545355,0.7619047619047618
JEPI,0.0,1.0,0.9541316598047098,0.9329953275673526,0.5611003736807968,0.20242222752420488,1.0,0.6227758007117439,0.0
DGRO,0.48238919271896163,0.5315568022440393,0.7572499398133603,0.8136991748682773,0.2863616512205016,0.15736326443986742,0.8083937339256488,0.6924976396252451,0.7619047619047618
IUSV,0.4772875683617662,0.42987377279102384,0.9987513822524903,0.9372203996421117,0.08911575851245082,0.032064114467009734,0.6926584054243627,0.4317670128549641,0.9523809523809523
FNDF,0.7114521263570319,0.9347826086956522,1.0,0.5915100904662491,0.1891370410308007,0.00849901009133243,0.46703296703296693,0.7280848282373447,0.0
USMV,0.26352950779528195,0.35273492286115016,0.6710300280326926,1.0,0.39732584644108115,0.008254607711200491,0.9954407294832827,1.0,0.42857142857142816
VOE,0.4752469186188881,0.49298737727910247,0.9633942816571527,0.39268316930112335,0.0,0.0,0.5745849894786064,0.3656765197182076,0.9047619047619047
