ETF,DEA_Score,In_Risk,In_Cost,Out_Return,Out_Liquidity,Out_Diversity,Cross_Score
SCHF,1.0,0.2414597405964205,0.1,0.6296481446123836,0.9318120182646006,0.8222437940176205,0.9358
VTV,1.0,0.2099139611874964,0.1,0.477911224695155,0.782169918004318,0.9319872533004848,0.9296
VYM,1.0,0.2087560644536781,0.1125,0.5096197177829267,0.6939091166476957,0.9637883940765338,0.8551
SPYV,0.9312,0.264069546149031,0.1125,0.4505599317807696,0.6770741103216217,0.9913357255710576,0.7694
SCHX,1.0,0.3216109180499056,0.1,0.4628843846594457,0.9614067785753148,0.7033901936105831,0.7683
SCHD,0.9547,0.2630670731663038,0.1375,0.5564699386439751,1.0,0.8415968186808774,0.7579
VOO,0.9513,0.3120243565742635,0.1,0.4639080988404795,0.907349773799826,0.6981482473288168,0.7527
VO,1.0,0.3255783696976651,0.1,0.4211543021461708,0.6381462500157576,0.9986744503655304,0.7483
IVV,0.9423,0.3145170730573779,0.1,0.4681267254769412,0.9002939775348004,0.6847963473743406,0.7433
VIG,0.8533,0.206842044446155,0.1125,0.4324033152378643,0.6797679455747687,0.7539418364887663,0.7365
IUSV,0.9329,0.2727400810191405,0.1125,0.4492817694169371,0.5027464429930467,0.9978550196824038,0.6969
VTI,0.873,0.333016543314051,0.1,0.4579034003828947,0.8226085601208988,0.6809643038856011,0.6947
ITOT,0.8339,0.3330905040513201,0.1,0.4544510790197485,0.7445629130706064,0.7095359237340333,0.6747
SCHB,0.8162,0.3275728451537381,0.1,0.4596924329289374,0.764853494859584,0.6539230913424203,0.6652
DGRO,0.911,0.1942710201716383,0.1625,0.480218035781554,0.6435360542691939,0.8552138285622474,0.6472
IJH,0.8158,0.4670249983298017,0.125,0.4040213997842993,0.9607200631184633,0.79638352569424,0.6044
USMV,1.0,0.1,0.25,0.3732681178304014,0.6219104005652492,0.804288621696168,0.6004
VOE,0.8207,0.3064382240854212,0.125,0.4671799901438176,0.4402410178471401,0.9769715877138956,0.5998
VB,0.8918,0.5065366432427407,0.1,0.4174337158839344,0.6465679272991669,0.849839327317034,0.5946
SCHG,0.8358,0.4711234062314372,0.1125,0.453615690164975,0.9007561384275228,0.3806188576172241,0.4986
FNDF,0.8482,0.2391354372869589,0.375,0.6551768500983038,0.5341456379852592,1.0,0.411
JEPI,0.8342,0.1855538922155688,0.5,0.5777657944031334,0.7801929330328587,0.9715006828589028,0.4039
XLF,0.8268,0.2849463394336721,0.1625,0.4768480341818595,0.950819183136528,0.1035669335618456,0.4018
